,CA,CN,DE,ES,FR,IN,IT,JP,UK,US
Parfüm/Kosmetik,,,84231031,,,,,,,
Schmuck,,,327473011,,,,,,,
Schuhe,,,355006011,,,,,,,
Spielwaren,,,12950661,,,,,,,
Sport/Freizeit,,,16435121,,,,,,,
Uhren,,,193708031,,,,,,,
Video,,,547082,,,,,,,
Zeitschriften,,,1161660,,,,,,,
Amélioration de l`habitat,,,,,590748031,,,,,
Bébés et Puériculture,,,,,206618031,,,,,
Beauté & Parfum,,,,,197859031,,,,,
Bijoux,,,,,193711031,,,,,
Chaussures,,,,,248815031,,,,,
Cuisine & Maison,,,,,57686031,,,,,
Fournitures de Bureau,,,,,192420031,,,,,
Informatique,,,,,340859031,,,,,
Instruments de musique,,,,,340862031,,,,,
Jeux et Jouets,,,,,322088011,,,,,
Jeux Vidéo,,,,,235571011,,,,,
L`électronique,,,,,235560011,,,,,
Livres,,,,,235564011,,,,,
Logiciels,,,,,235570011,,,,,
Luminaires et Eclairage,,,,,213081031,,,,,
Montres,,,,,60937031,,,,,
Musique,,,,,235565011,,,,,
Santé & Corps,,,,,197862031,,,,,
Sports et Loisirs,,,,,325615031,,,,,
Téléchargements MP3,,,,,206442031,,,,,
Vêtements,,,,,340856031,,,,,
Vidéo,,,,,235555011,,,,,
アプライアンス,,,,,,,,2277725051,,
エレクトロニクス,,,,,,,,202762011,,
スポーツ用品,,,,,,,,202769011,,
ソフト,,,,,,,,202764011,,
ビデオゲーム,,,,,,,,202763011,,
ホーム改善,,,,,,,,202761011,,
健康,,852804051,,,,,,202770011,,
台所,,,,,,,,202761011,,
時計,,,,,,,,333336011,,
書籍,,,,,,,,202188011,,
玉飾り,,,,,,,,86422051,,
玩具,,647071051,,,,,,202768011,,
美しさ,,,,,,,,202770011,,
衣服,,,,,,,,361298011,,
靴,,,,,,,,2016927051,,
音楽,,,,,,,,202765011,,
食料品,,,,,,,,57240051,,
DVDリー,,,,,,,,202766011,,
MP3ダウンロード,,,,,,,,2129334051,,
Office製品,,,,,,,,89680051,,
VHS版,,,,,,,,202767011,,
Casa e cucina,,,,,,,524016031,,,
Elettronica,,,,,,,412610031,,,
Giardino,,,,,,,635017031,,,
Giocattoli,,,,,,,523998031,,,
Libri,,,,,,,411664031,,,
Musica,,,,,,,412601031,,,
Orologi,,,,,,,524010031,,,
Scarpe e borse,,,,,,,524007031,,,
Videogiochi,,,,,,,412604031,,,
珠宝,,816483051,,,,,,,,
电子产品,,2016117051,,,,,,,,
美容,,746777051,,,,,,,,
鞋,,2029190051,,,,,,,,
音乐,,754387051,,,,,,,,
首页,,2016127051,,,,,,,,
视频,,2016137051,,,,,,,,
视频游戏,,897416051,,,,,,,,
软件,,863873051,,,,,,,,
办公用品,,2127222051,,,,,,,,
婴儿,,42693071,,,,,,,,
家电,,80208071,,,,,,,,
家装,,1952921051,,,,,,,,
手表,,1953165051,,,,,,,,
摄影,,755653051,,,,,,,,
服装,,2016157051,,,,,,,,
杂货,,2127216051,,,,,,,,
汽车,,1947900051,,,,,,,,
书籍,,658391051,,,,,,,,
体育用品,,836313051,,,,,,,,
Automotor,,,,1951051031,,,,,,
Bebé,,,,1703495031,,,,,,
Cocina,,,,599392031,,,,,,
Electrónica,,,,667050031,,,,,,
Juegos video,,,,599383031,,,,,,
Juguetes,,,,599386031,,,,,,
Libros,,,,599365031,,,,,,
Libros extranjeros,,,,599368031,,,,,,
Música,,,,599374031,,,,,,
MP3,,,,1748201031,,,,,,
Relojes,,,,599389031,,,,,,
Zapatos,,,,1571263031,,,,,,
